,A,w,df,f1,f2,f3,f4,f5,Aq1,Aq2,Aq3,Aq4,Aq5
155,0.25,2.3333480305239656,1.1138642178632645,1.10999778,0.73999852,0.36999926,1.00999798,,0.6853980509626921,0.32513401894118205,0.14211491598387097,0.09369330671148798,
156,0.25,3.966691651890741,1.1138642178632645,1.25999748,0.62999874,1.0999978000000001,,,0.4133290064482868,0.2283481548118443,0.05392450625329037,,
157,0.25,5.600035273257517,1.1138642178632645,0.8899982200000001,1.7799964400000001,,,,0.3688540735017775,0.05240435949060178,,,
158,0.25,7.233378894624293,1.1138642178632645,1.1499977000000001,1.00999798,,,,0.8832938243114115,0.10402760142822866,,,
159,0.25,8.86672251599107,1.1138642178632645,1.40999718,1.13999772,,,,0.2625063468311423,0.05579033262840019,,,
160,0.25,10.500066137357845,1.1138642178632645,1.66999666,1.15999768,,,,0.11252399286688494,0.04186063895545021,,,
161,0.25,0.7000044091571898,2.127728435726529,1.10999778,0.10999978,0.21999956,0.7799984400000001,0.55999888,0.19138655962458165,0.09321824147137361,0.07654860121480643,0.07358811472216899,0.06792650877315783
162,0.25,2.3333480305239656,2.127728435726529,0.73999852,0.36999926,1.10999778,1.4899970200000001,,0.201166259470813,0.18533742578777335,0.14550930475540663,0.040545920196433924,
163,0.25,3.966691651890741,2.127728435726529,1.25999748,0.62999874,,,,0.38116448739629993,0.34320260771851135,,,
164,0.25,5.600035273257517,2.127728435726529,0.8899982200000001,,,,,0.5911677603791121,,,,
165,0.25,7.233378894624293,2.127728435726529,1.1499977000000001,0.92999814,,,,1.0237174713512003,0.11332174760756826,,,
166,0.25,8.86672251599107,2.127728435726529,1.40999718,1.10999778,,,,0.41062206882902696,0.06203086109770643,,,
167,0.25,10.500066137357845,2.127728435726529,1.66999666,1.1499977000000001,,,,0.184282890060826,0.042121704456979187,,,
168,0.25,0.7000044091571898,3.1415926535897936,0.10999978,0.999998,0.7799984400000001,0.55999888,0.32999934000000003,0.10463955708179676,0.08220629848221053,0.08149052944853472,0.0792485650750065,0.07525537791277484
169,0.25,2.3333480305239656,3.1415926535897936,1.10999778,0.36999926,1.00999798,,,0.720265089561705,0.284966011123069,0.07849598835160666,,
170,0.25,3.966691651890741,3.1415926535897936,0.62999874,,,,,0.34598034399362215,,,,
171,0.25,5.600035273257517,3.1415926535897936,0.8899982200000001,,,,,0.6666963428023301,,,,
172,0.25,7.233378894624293,3.1415926535897936,1.1499977000000001,0.8999982000000001,,,,1.063964848846737,0.11327508299903602,,,
173,0.25,8.86672251599107,3.1415926535897936,1.40999718,1.0999978000000001,,,,0.4601144644693542,0.060075980048034196,,,
174,0.25,10.500066137357845,3.1415926535897936,1.66999666,1.1499977000000001,,,,0.21002974751327125,0.03932798476674561,,,
175,0.25,0.7000044091571898,4.155456871453057,1.10999778,0.10999978,0.21999956,0.7799984400000001,0.44999910000000004,0.18773060196572716,0.09115378940006438,0.08058942250444182,0.07403236343124546,0.06415792792709164
176,0.25,2.3333480305239656,4.155456871453057,0.73999852,0.36999926,1.11999776,1.4899970200000001,,0.20358555381427648,0.18406068738533532,0.11981402591242477,0.04142084987057261,
177,0.25,3.966691651890741,4.155456871453057,1.25999748,0.62999874,1.0999978000000001,,,0.3780693451886784,0.34449169845057465,0.05523061862400142,,
178,0.25,5.600035273257517,4.155456871453057,0.8899982200000001,,,,,0.5952863346591224,,,,
179,0.25,7.233378894624293,4.155456871453057,1.1499977000000001,0.92999814,,,,1.0247530748503715,0.10850015902667018,,,
180,0.25,8.86672251599107,4.155456871453057,1.40999718,1.10999778,,,,0.4122466171679167,0.049301342374173315,,,
181,0.25,10.500066137357845,4.155456871453057,1.66999666,1.15999768,,,,0.18458900843540962,0.029680462428475,,,
